area,2018,2019,2020,2021,diff
新北市坪林區,6519,6632,6725,6690,171
新竹縣竹東鎮,96729,96374,97218,96898,169
宜蘭縣壯圍鄉,24226,24276,24382,24389,163
臺東縣蘭嶼鄉,5066,5175,5145,5216,150
新北市深坑區,23638,23700,23779,23769,131
高雄市左營區,197047,196972,198020,197178,131
連江縣東引鄉,1345,1356,1345,1459,114
澎湖縣白沙鄉,9811,9803,9844,9878,67
連江縣南竿鄉,7568,7622,7570,7629,61
屏東縣春日鄉,4885,4917,4937,4945,60
彰化縣北斗鎮,33325,33334,33320,33383,58
新竹縣尖石鄉,9549,9677,9581,9599,50
屏東縣三地門鄉,7663,7705,7658,7705,42
新北市烏來區,6320,6390,6373,6358,38
屏東縣泰武鄉,5306,5378,5399,5344,38
澎湖縣七美鄉,3841,3826,3825,3867,26
宜蘭縣南澳鄉,5950,6001,5950,5970,20
臺東縣綠島鄉,4040,4070,4024,4057,17
高雄市那瑪夏區,3142,3153,3145,3149,7
屏東縣瑪家鄉,6758,6803,6761,6759,1
屏東縣來義鄉,7422,7443,7434,7417,-5
新竹縣寶山鄉,14591,14576,14607,14584,-7
嘉義縣大埔鄉,4570,4600,4580,4563,-7
高雄市湖內區,29837,29739,29754,29821,-16
臺東縣金峰鄉,3695,3722,3701,3679,-16
雲林縣虎尾鎮,70872,70840,70915,70850,-22
金門縣烏坵鄉,689,683,671,665,-24
南投縣仁愛鄉,15816,15927,15902,15785,-31
高雄市鳳山區,359125,359775,360072,359093,-32
雲林縣斗六市,108685,108669,108690,108653,-32
高雄市茂林區,1947,1974,1937,1897,-50
臺東縣延平鄉,3609,3571,3527,3557,-52
金門縣烈嶼鄉,12745,12801,12733,12693,-52
屏東縣霧臺鄉,3304,3334,3286,3244,-60
花蓮縣鳳林鎮,10851,10825,10825,10787,-64
花蓮縣豐濱鄉,4427,4666,4440,4363,-64
屏東縣獅子鄉,4896,4955,4899,4829,-67
花蓮縣卓溪鄉,6082,6091,6050,6009,-73
宜蘭縣大同鄉,6163,6204,6142,6086,-77
臺東縣達仁鄉,3568,3563,3517,3490,-78
臺東縣海端鄉,4211,4175,4096,4130,-81
澎湖縣西嶼鄉,8411,8339,8306,8319,-92
高雄市桃源區,4302,4305,4233,4196,-106
屏東縣牡丹鄉,4942,4963,4868,4834,-108
嘉義縣阿里山鄉,5599,5572,5531,5484,-115
連江縣莒光鄉,1624,1603,1530,1496,-128
高雄市大寮區,112415,112441,112333,112281,-134
宜蘭縣冬山鄉,53087,52887,53188,52949,-138
臺中市和平區,10965,10951,10852,10823,-142
新竹縣五峰鄉,4607,4717,4552,4461,-146
基隆市暖暖區,38684,38611,38566,38535,-149
新竹縣峨眉鄉,5538,5552,5467,5386,-152
花蓮縣新城鄉,20155,20145,20103,19999,-156
新北市石碇區,7682,7692,7613,7523,-159
臺東縣池上鄉,8213,8182,8140,8052,-161
屏東縣琉球鄉,12308,12315,12198,12140,-168
高雄市茄萣區,30094,29983,30052,29924,-170
臺南市官田區,21347,21255,21350,21158,-189
宜蘭縣三星鄉,21390,21358,21213,21200,-190
花蓮縣吉安鄉,83711,83365,83620,83512,-199
宜蘭縣員山鄉,32365,32228,32271,32159,-206
新竹縣芎林鄉,20093,19976,19926,19880,-213
苗栗縣泰安鄉,5949,5992,5839,5736,-213
臺南市安定區,30540,30439,30361,30315,-225
臺南市山上區,7319,7296,7165,7094,-225
屏東縣九如鄉,22093,21999,21978,21867,-226
花蓮縣萬榮鄉,6422,6384,6306,6195,-227
高雄市甲仙區,6077,5986,5916,5841,-236
臺南市西港區,24764,24667,24498,24505,-259
高雄市永安區,13915,13862,13710,13654,-261
苗栗縣獅潭鄉,4401,4296,4195,4138,-263
屏東縣枋山鄉,5458,5449,5306,5195,-263
臺中市神岡區,65613,65669,65670,65346,-267
臺南市龍崎區,4016,3989,3848,3746,-270
屏東縣崁頂鄉,15588,15459,15340,15304,-284
高雄市前金區,26912,26825,26954,26624,-288
臺中市東區,75967,76254,75912,75677,-290
臺東縣太麻里鄉,11175,11116,10968,10884,-291
新竹縣新埔鎮,33289,33030,32815,32997,-292
臺中市外埔區,32152,32256,32108,31855,-297
臺中市后里區,54551,54742,54594,54241,-310
彰化縣線西鄉,16934,16819,16684,16621,-313
臺南市左鎮區,4856,4769,4653,4534,-322
臺東縣東河鄉,8492,8413,8310,8166,-326
新北市平溪區,4712,4651,4504,4382,-330
屏東縣麟洛鄉,11055,11009,10879,10723,-332
高雄市田寮區,7221,7137,7015,6876,-345
屏東縣南州鄉,10673,10596,10439,10327,-346
臺東縣鹿野鄉,7909,7849,7702,7561,-348
臺東縣長濱鄉,7240,7142,6994,6886,-354
南投縣草屯鎮,97681,97205,97628,97325,-356
基隆市七堵區,53945,53738,53740,53588,-357
屏東縣車城鄉,8597,8485,8336,8239,-358
新竹縣北埔鄉,9354,9285,9121,8994,-360
屏東縣潮州鎮,54246,53947,53912,53882,-364
屏東縣恆春鎮,30761,30780,30603,30390,-371
臺東縣關山鎮,8751,8679,8558,8369,-382
花蓮縣瑞穗鄉,11665,11579,11370,11282,-383
彰化縣鹿港鎮,86762,86879,86793,86376,-386
嘉義縣番路鄉,11532,11373,11229,11146,-386
臺南市歸仁區,68536,68387,68318,68147,-389
高雄市大社區,34646,34632,34376,34257,-389
苗栗縣三灣鄉,6720,6593,6506,6331,-389
嘉義縣民雄鄉,71593,71355,71355,71197,-396
臺東縣大武鄉,6087,5962,5779,5691,-396
花蓮縣富里鄉,10367,10250,10113,9966,-401
屏東縣萬巒鄉,20542,20557,20360,20134,-408
南投縣信義鄉,16236,16137,15956,15825,-411
臺中市中區,18558,18509,18338,18144,-414
臺南市南化區,8758,8672,8522,8339,-419
臺中市石岡區,15028,14900,14702,14607,-421
苗栗縣西湖鄉,7112,7000,6853,6685,-427
屏東縣新埤鄉,9947,9863,9691,9503,-444
臺南市關廟區,34390,34277,34143,33943,-447
金門縣金城鎮,43276,43270,43100,42829,-447
臺東縣卑南鄉,17398,17231,17110,16949,-449
彰化縣埔心鄉,34762,34752,34643,34300,-462
臺南市新化區,43671,43416,43276,43207,-464
彰化縣秀水鄉,39326,39243,39046,38862,-464
彰化縣竹塘鄉,15217,15025,14882,14752,-465
臺中市大安區,19252,19215,19072,18775,-477
屏東縣滿州鄉,7912,7878,7609,7430,-482
宜蘭縣頭城鎮,29257,29076,28917,28770,-487
高雄市阿蓮區,28767,28606,28473,28277,-490
南投縣集集鎮,10901,10713,10579,10405,-496
新北市雙溪區,8895,8810,8601,8398,-497
高雄市杉林區,11961,11724,11639,11461,-500
南投縣魚池鄉,15868,15715,15570,15368,-500
高雄市燕巢區,29901,29753,29670,29391,-510
新竹縣橫山鄉,13004,12922,12699,12494,-510
高雄市彌陀區,19334,19189,18974,18823,-511
屏東縣長治鄉,29892,29546,29535,29379,-513
花蓮縣光復鄉,12846,12719,12512,12325,-521
花蓮縣壽豐鄉,18017,17914,17769,17494,-523
臺南市楠西區,9670,9470,9294,9143,-527
臺南市柳營區,21309,21092,20978,20781,-528
臺中市霧峰區,65495,65610,65311,64965,-530
宜蘭縣礁溪鄉,35673,35537,35337,35138,-535
高雄市岡山區,97302,97187,97133,96765,-537
臺南市大內區,9711,9530,9341,9164,-547
宜蘭縣宜蘭市,95868,95721,95630,95313,-555
新北市泰山區,78840,78735,78666,78276,-564
雲林縣大埤鄉,19156,18976,18736,18591,-565
臺南市鹽水區,25540,25369,25141,24971,-569
新北市萬里區,22169,21946,21738,21599,-570
雲林縣褒忠鄉,12984,12862,12637,12414,-570
彰化縣芬園鄉,23647,23501,23294,23076,-571
南投縣中寮鄉,14791,14626,14462,14204,-587
臺南市玉井區,14138,13957,13728,13546,-592
高雄市梓官區,36026,35843,35703,35432,-594
雲林縣莿桐鄉,28847,28668,28476,28251,-596
高雄市內門區,14527,14352,14116,13930,-597
高雄市六龜區,12956,12853,12541,12346,-610
臺南市佳里區,59355,59055,59055,58743,-612
屏東縣竹田鄉,17114,17058,16791,16502,-612
高雄市小港區,157522,157766,157811,156906,-616
基隆市安樂區,82414,82300,82346,81794,-620
新北市三芝區,23130,22874,22710,22499,-631
臺南市北門區,11169,10987,10760,10535,-634
苗栗縣南庄鄉,10132,9952,9771,9494,-638
苗栗縣頭屋鄉,10839,10602,10441,10194,-645
嘉義縣鹿草鄉,15503,15250,15055,14846,-657
臺南市六甲區,22269,22108,21815,21611,-658
南投縣鹿谷鄉,17794,17616,17395,17128,-666
臺中市大肚區,57340,57308,56927,56672,-668
彰化縣埤頭鄉,30674,30431,30333,29994,-680
彰化縣二水鄉,15249,15069,14797,14566,-683
雲林縣土庫鎮,28881,28686,28533,28198,-683
彰化縣埔鹽鄉,32536,32366,32098,31852,-684
嘉義縣溪口鄉,14674,14450,14254,13967,-707
高雄市林園區,70015,69842,69561,69301,-714
彰化縣社頭鄉,43041,42768,42526,42322,-719
臺中市新社區,24695,24511,24259,23972,-723
屏東縣里港鄉,26393,25950,25760,25666,-727
臺南市學甲區,25936,25676,25451,25208,-728
臺東縣成功鎮,14187,13981,13667,13458,-729
高雄市新興區,51104,51102,51009,50373,-731
嘉義縣朴子市,42318,42093,41827,41587,-731
高雄市鹽埕區,24187,24038,23857,23453,-734
臺南市將軍區,19753,19610,19258,19013,-740
屏東縣佳冬鄉,19290,19037,18776,18543,-747
嘉義縣水上鄉,49618,49301,49128,48869,-749
新北市貢寮區,12488,12204,11943,11731,-757
臺南市下營區,24126,23821,23595,23366,-760
苗栗縣造橋鄉,12910,12662,12396,12150,-760
屏東縣萬丹鄉,50816,50468,50344,50049,-767
彰化縣花壇鄉,45877,45790,45440,45096,-781
雲林縣林內鄉,18171,17883,17749,17376,-795
嘉義縣梅山鄉,19398,19180,18876,18602,-796
新北市石門區,12205,12045,11691,11400,-805
苗栗縣三義鄉,16415,16121,15901,15608,-807
嘉義縣大林鎮,31141,30899,30625,30331,-810
嘉義縣新港鄉,31882,31649,31344,31061,-821
彰化縣員林市,124634,124906,125126,123808,-826
彰化縣溪州鄉,29897,29618,29292,29070,-827
屏東縣林邊鄉,18013,17741,17478,17184,-829
苗栗縣卓蘭鎮,16951,16622,16399,16121,-830
雲林縣古坑鄉,31601,31291,31130,30770,-831
南投縣水里鄉,17733,17426,17231,16901,-832
臺南市七股區,22947,22657,22291,22105,-842
彰化縣田尾鄉,27460,27203,26904,26616,-844
嘉義縣中埔鄉,44841,44461,44263,43995,-846
雲林縣東勢鄉,14902,14665,14345,14055,-847
雲林縣西螺鎮,46176,45926,45648,45327,-849
雲林縣崙背鄉,24617,24239,23959,23764,-853
屏東縣高樹鄉,24532,24239,23907,23668,-864
基隆市中正區,51986,51640,51372,51119,-867
新北市樹林區,183936,183811,183910,183066,-870
臺南市麻豆區,44538,44203,43909,43657,-881
彰化縣大城鄉,16902,16628,16267,16019,-883
雲林縣斗南鎮,44851,44476,44290,43967,-884
苗栗縣大湖鄉,14672,14387,14117,13785,-887
嘉義縣義竹鄉,18418,18151,17797,17521,-897
彰化縣和美鎮,90865,90713,90369,89962,-903
新北市金山區,21937,21657,21296,21022,-915
南投縣國姓鄉,18777,18506,18109,17862,-915
彰化縣溪湖鎮,55614,55367,55156,54693,-921
苗栗縣銅鑼鄉,18080,17808,17534,17158,-922
屏東縣枋寮鄉,24518,24204,23894,23582,-936
花蓮縣玉里鎮,24235,23937,23591,23270,-965
屏東縣鹽埔鄉,25863,25572,25252,24896,-967
雲林縣臺西鄉,23879,23562,23194,22901,-978
臺南市東山區,21007,20692,20353,20027,-980
臺南市後壁區,23636,23229,22886,22648,-988
彰化縣福興鄉,47223,46933,46643,46214,-1009
高雄市路竹區,52651,52507,52129,51641,-1010
宜蘭縣羅東鎮,72504,72447,71823,71491,-1013
南投縣南投市,100052,99507,99324,99024,-1028
高雄市旗津區,28699,28368,28025,27644,-1055
彰化縣芳苑鄉,33616,33385,33003,32551,-1065
高雄市大樹區,42707,42283,42043,41641,-1066
彰化縣永靖鄉,37241,36891,36544,36167,-1074
嘉義縣六腳鄉,23226,22812,22433,22078,-1148
嘉義縣布袋鎮,27038,26635,26259,25882,-1156
新竹縣關西鎮,28829,28332,27979,27667,-1162
臺中市豐原區,167007,167126,166802,165838,-1169
嘉義縣東石鄉,24841,24419,24057,23659,-1182
屏東縣東港鎮,47872,47483,46981,46685,-1187
南投縣名間鄉,38625,38152,37827,37414,-1211
雲林縣北港鎮,40146,39743,39293,38931,-1215
高雄市旗山區,36872,36552,36224,35651,-1221
苗栗縣苗栗市,88774,88115,87868,87550,-1224
臺東縣臺東市,105825,105425,105070,104600,-1225
雲林縣二崙鄉,27161,26695,26306,25929,-1232
宜蘭縣蘇澳鎮,39997,39482,39080,38763,-1234
彰化縣田中鎮,41836,41483,41116,40591,-1245
嘉義縣竹崎鄉,35875,35453,35076,34624,-1251
雲林縣口湖鄉,27560,27164,26705,26307,-1253
苗栗縣苑裡鎮,45751,45047,44820,44487,-1264
臺南市白河區,28399,28007,27602,27134,-1265
嘉義市西區,147377,147404,146822,146090,-1287
雲林縣元長鄉,25876,25535,25012,24576,-1300
新北市瑞芳區,40208,39812,39409,38904,-1304
雲林縣四湖鄉,23550,23059,22639,22232,-1318
臺中市西區,115758,115837,115324,114437,-1321
苗栗縣公館鄉,33624,33167,32670,32292,-1332
彰化縣二林鎮,50881,50488,49905,49504,-1377
屏東縣新園鄉,35148,34743,34328,33769,-1379
屏東縣內埔鄉,54534,53966,53541,53141,-1393
高雄市美濃區,39883,39476,39051,38421,-1462
基隆市中山區,47782,47312,46740,46314,-1468
雲林縣水林鄉,25563,25149,24538,24082,-1481
臺中市北區,147788,147292,147011,146284,-1504
基隆市仁愛區,44240,43658,43238,42701,-1539
苗栗縣後龍鎮,36623,36126,35558,35055,-1568
臺中市東勢區,50588,50156,49627,49006,-1582
苗栗縣通霄鎮,34463,33832,33385,32843,-1620
南投縣竹山鎮,55000,54371,53796,53277,-1723
臺南市新營區,78018,77524,76901,76283,-1735
花蓮縣花蓮市,104046,103717,103081,102299,-1747
南投縣埔里鎮,80829,80266,79624,78991,-1838
臺中市大甲區,77847,77517,76594,75991,-1856
臺南市南區,125199,124952,124512,123278,-1921
臺南市東區,186703,186348,185767,184429,-2274
新北市三重區,386785,385550,385960,384422,-2363
嘉義市東區,121930,121098,120650,119470,-2460
彰化縣彰化市,233209,232565,232242,230618,-2591
新北市中和區,413010,412114,412753,410274,-2736
臺南市北區,132613,131922,131060,129606,-3007
屏東縣屏東市,200313,199414,198713,197174,-3139
新北市永和區,222479,221265,220716,218935,-3544
高雄市苓雅區,170766,169468,168680,166870,-3896
臺北市南港區,122073,121134,119966,118022,-4051
高雄市前鎮區,189353,187916,187338,185197,-4156
臺北市中正區,159641,158808,157476,154769,-4872
臺北市大同區,129020,127483,125565,123461,-5559
高雄市三民區,342748,340465,339190,336103,-6645
臺北市內湖區,287843,287153,284944,281124,-6719
臺北市北投區,256085,254846,252786,248955,-7130
臺北市文山區,274402,273656,271028,266910,-7492
臺北市松山區,206770,205588,203315,199037,-7733
臺北市中山區,230324,228831,226455,222295,-8029
臺北市大安區,309936,308720,306660,300705,-9231
臺北市萬華區,191165,188821,186033,181553,-9612
臺北市士林區,288066,285756,282294,276557,-11509
臺北市信義區,224893,222629,218764,213272,-11621
sum,23571990,23589192,23596493,23525623,-46367
