cunli,adult2019,chilren2019,adult2020,chilren2020,adult2021,chilren2021,adult_diff,children_diff
臺南市後壁區土溝里,899,118,873,104,849,101,-50,-17
臺南市後壁區竹新里,923,96,897,80,874,72,-49,-24
臺南市後壁區新東里,1226,96,1212,95,1185,101,-41,5
臺南市後壁區頂安里,892,108,883,111,857,104,-35,-4
臺南市後壁區長安里,796,62,785,62,782,77,-14,15
臺南市後壁區福安里,1249,89,1229,88,1183,83,-66,-6
臺南市後壁區菁寮里,904,79,860,66,818,64,-86,-15
臺南市後壁區新嘉里,573,62,556,63,538,59,-35,-3
臺南市後壁區長短樹里,1323,107,1295,98,1272,94,-51,-13
臺南市後壁區上茄苳里,1519,191,1461,187,1423,192,-96,1
臺南市後壁區菁豐里,784,77,761,84,748,82,-36,5
臺南市東山區東山里,993,112,988,108,985,102,-8,-10
臺南市東山區東中里,1845,254,1847,257,1816,243,-29,-11
臺南市東山區東正里,972,120,928,102,902,113,-70,-7
臺南市東山區三榮里,723,60,700,61,683,59,-40,-1
臺南市東山區大客里,738,75,730,78,703,77,-35,2
臺南市東山區科里里,856,79,835,66,810,70,-46,-9
臺南市東山區東河里,619,63,597,53,569,45,-50,-18
臺南市東山區南溪里,305,21,286,23,293,25,-12,4
臺南市東山區水雲里,246,15,233,14,230,10,-16,-5
臺南市東山區林安里,243,16,227,14,222,12,-21,-4
臺南市東山區東原里,1417,159,1371,150,1299,134,-118,-25
臺南市東山區嶺南里,445,45,427,42,421,40,-24,-5
臺南市東山區南勢里,763,87,739,74,726,77,-37,-10
臺南市東山區青山里,723,84,699,74,691,80,-32,-4
臺南市東山區高原里,621,58,596,50,573,41,-48,-17
臺南市東山區聖賢里,1341,112,1319,103,1284,102,-57,-10
臺南市麻豆區東角里,2034,409,1987,392,1954,394,-80,-15
臺南市麻豆區晋江里,1877,327,1829,333,1789,359,-88,32
臺南市麻豆區巷口里,1537,274,1513,273,1505,254,-32,-20
臺南市麻豆區中興里,1427,219,1396,206,1371,186,-56,-33
臺南市麻豆區興農里,1139,207,1105,199,1062,190,-77,-17
臺南市麻豆區油車里,2804,493,2736,476,2657,453,-147,-40
臺南市麻豆區北勢里,787,89,744,87,721,80,-66,-9
臺南市麻豆區大埕里,2130,469,2110,453,2112,467,-18,-2
臺南市麻豆區南勢里,1730,212,1685,214,1639,208,-91,-4
臺南市麻豆區寮廍里,1216,149,1178,144,1192,139,-24,-10
臺南市麻豆區埤頭里,1779,195,1747,185,1703,180,-76,-15
臺南市麻豆區海埔里,1486,161,1469,169,1440,178,-46,17
臺南市麻豆區港尾里,907,82,877,73,876,65,-31,-17
臺南市麻豆區麻口里,865,98,872,109,896,122,31,24
臺南市麻豆區安業里,944,132,906,129,883,117,-61,-15
臺南市麻豆區安正里,697,69,695,73,683,81,-14,12
臺南市麻豆區新興里,1452,237,1417,213,1399,197,-53,-40
臺南市麻豆區謝厝寮里,1191,141,1165,132,1119,122,-72,-19
臺南市麻豆區井東里,1278,140,1233,134,1207,130,-71,-10
臺南市麻豆區清水里,1003,115,1076,132,1054,131,51,16
臺南市下營區下營里,1062,162,1010,138,962,124,-100,-38
臺南市下營區仁里里,1530,189,1477,180,1440,176,-90,-13
臺南市下營區宅內里,1190,132,1164,124,1139,112,-51,-20
臺南市下營區後街里,1158,174,1136,173,1127,170,-31,-4
臺南市下營區新興里,1509,263,1500,285,1468,281,-41,18
臺南市下營區營前里,1518,170,1510,163,1493,158,-25,-12
臺南市下營區開化里,1318,178,1271,181,1245,179,-73,1
臺南市下營區西連里,602,53,604,51,591,43,-11,-10
臺南市下營區賀建里,944,108,913,99,888,89,-56,-19
臺南市下營區茅營里,1556,183,1489,178,1434,172,-122,-11
臺南市下營區大吉里,1132,134,1112,139,1088,140,-44,6
