區域,年出生數,年死亡數,年中人口(6月底),粗出生率,粗死亡率
臺中市南屯區,1283,767,171952,7.46,4.46
臺中市后里區,414,451,54705,7.57,8.24
臺中市和平區,93,130,10947,8.5,11.88
臺中市外埔區,272,242,32209,8.44,7.51
臺中市大安區,157,185,19174,8.19,9.65
臺中市大甲區,687,587,77375,8.88,7.59
臺中市大肚區,425,398,57261,7.42,6.95
臺中市大里區,1672,1124,212641,7.86,5.29
臺中市大雅區,785,546,95828,8.19,5.7
臺中市太平區,1653,1168,192993,8.57,6.05
臺中市新社區,150,276,24424,6.14,11.3
臺中市東勢區,292,515,49984,5.84,10.3
臺中市東區,576,577,76113,7.57,7.58
臺中市梧棲區,492,390,58676,8.39,6.65
臺中市沙鹿區,847,535,94506,8.96,5.66
臺中市清水區,679,619,87158,7.79,7.1
臺中市潭子區,887,674,109290,8.12,6.17
臺中市烏日區,638,481,75470,8.45,6.37
臺中市石岡區,92,148,14854,6.19,9.96
臺中市神岡區,548,505,65709,8.34,7.69
臺中市西區,674,756,115691,5.83,6.53
臺中市西屯區,1622,1103,229499,7.07,4.81
臺中市豐原區,1262,1125,166969,7.56,6.74
臺中市霧峰區,513,472,65519,7.83,7.2
臺中市龍井區,638,461,77886,8.19,5.92
臺北市,21468,18026,2657652,8.08,6.78
臺北市中山區,1892,1557,228285,8.29,6.82
臺北市中正區,1235,1074,158583,7.79,6.77
臺北市信義區,1776,1630,221606,8.01,7.36
臺北市內湖區,2545,1423,286834,8.87,4.96
臺北市北投區,2046,1781,254138,8.05,7.01
臺北市南港區,1164,796,120897,9.63,6.58
臺北市士林區,2287,1898,285017,8.02,6.66
臺北市大同區,1095,1006,127086,8.62,7.92
臺北市大安區,2224,2117,308722,7.2,6.86
臺北市文山區,2136,1792,273040,7.82,6.56
臺北市松山區,1488,1284,205219,7.25,6.26
臺北市萬華區,1580,1668,188225,8.39,8.86
臺南市,11841,15470,1882313,6.29,8.22
臺南市七股區,103,329,22538,4.57,14.6
臺南市下營區,116,304,23741,4.89,12.8
臺南市中西區,368,668,78276,4.7,8.53
臺南市仁德區,578,509,75985,7.61,6.7
臺南市佳里區,380,514,59080,6.43,8.7
臺南市六甲區,127,244,22044,5.76,11.07
臺南市北區,838,963,131776,6.36,7.31
臺南市北門區,64,150,10941,5.85,13.71
臺南市南化區,55,123,8652,6.36,14.22
臺南市南區,681,995,125011,5.45,7.96
臺南市善化區,395,383,49570,7.97,7.73
臺南市大內區,37,151,9471,3.91,15.94
臺南市學甲區,129,268,25614,5.04,10.46
臺南市安南區,1493,1264,193786,7.7,6.52
臺南市安定區,220,272,30406,7.24,8.95
臺南市安平區,482,351,66980,7.2,5.24
臺南市官田區,140,234,21265,6.58,11
臺南市將軍區,84,269,19524,4.3,13.78
臺南市山上區,32,80,7245,4.42,11.04
臺南市左鎮區,23,88,4736,4.86,18.58
臺南市後壁區,119,347,23173,5.14,14.97
臺南市新化區,273,429,43409,6.29,9.88
臺南市新市區,304,243,37159,8.18,6.54
臺南市新營區,426,628,77336,5.51,8.12
臺南市東區,934,1091,186057,5.02,5.86
臺南市東山區,80,315,20616,3.88,15.28
臺南市柳營區,122,292,21092,5.78,13.84
臺南市楠西區,31,126,9412,3.29,13.39
臺南市歸仁區,476,467,68233,6.98,6.84
臺南市永康區,1780,1431,235157,7.57,6.09
臺南市玉井區,64,187,13898,4.6,13.46
臺南市白河區,128,390,27909,4.59,13.97
臺南市西港區,154,244,24576,6.27,9.93
臺南市關廟區,197,344,34259,5.75,10.04
臺南市鹽水區,144,279,25322,5.69,11.02
臺南市麻豆區,251,436,44102,5.69,9.89
臺南市龍崎區,13,62,3962,3.28,15.65
臺東縣,1494,2421,217721,6.86,11.12
臺東縣卑南鄉,127,230,17192,7.39,13.38
臺東縣大武鄉,46,80,5909,7.78,13.54
臺東縣太麻里鄉,49,133,11073,4.43,12.01
臺東縣延平鄉,38,54,3556,10.69,15.19
臺東縣成功鎮,62,184,13901,4.46,13.24
臺東縣東河鄉,32,128,8414,3.8,15.21
臺東縣池上鄉,78,140,8168,9.55,17.14
臺東縣海端鄉,44,51,4141,10.63,12.32
臺東縣綠島鄉,39,28,4079,9.56,6.86
臺東縣臺東市,720,959,105317,6.84,9.11
臺東縣蘭嶼鄉,51,41,5168,9.87,7.93
臺東縣達仁鄉,28,45,3540,7.91,12.71
臺東縣金峰鄉,50,39,3726,13.42,10.47
臺東縣長濱鄉,32,129,7103,4.51,18.16
臺東縣關山鎮,51,89,8660,5.89,10.28
臺東縣鹿野鄉,47,91,7774,6.05,11.71
花蓮縣,2430,3280,326986,7.43,10.03
花蓮縣光復鄉,61,146,12632,4.83,11.56
花蓮縣卓溪鄉,91,80,6067,15,13.19
花蓮縣吉安鄉,586,690,83431,7.02,8.27
花蓮縣壽豐鄉,131,223,17882,7.33,12.47
花蓮縣富里鄉,57,152,10211,5.58,14.89
花蓮縣新城鄉,167,211,20120,8.3,10.49
花蓮縣玉里鎮,148,359,23815,6.21,15.07
花蓮縣瑞穗鄉,70,150,11498,6.09,13.05
花蓮縣秀林鄉,237,161,15913,14.89,10.12
花蓮縣花蓮市,707,818,103647,6.82,7.89
花蓮縣萬榮鄉,54,71,6356,8.5,11.17
花蓮縣豐濱鄉,23,74,4603,5,16.08
花蓮縣鳳林鎮,98,145,10811,9.06,13.41
苗栗縣,3077,5065,546690,5.63,9.26
苗栗縣三灣鄉,43,74,6582,6.53,11.24
苗栗縣三義鄉,107,172,16085,6.65,10.69
苗栗縣公館鄉,180,330,32970,5.46,10.01
苗栗縣卓蘭鎮,92,207,16529,5.57,12.52
苗栗縣南庄鄉,45,154,9892,4.55,15.57
苗栗縣大湖鄉,101,178,14348,7.04,12.41
苗栗縣後龍鎮,209,404,35922,5.82,11.25
苗栗縣泰安鄉,37,68,5929,6.24,11.47
苗栗縣獅潭鄉,20,69,4265,4.69,16.18
苗栗縣竹南鎮,557,580,86297,6.45,6.72
苗栗縣苑裡鎮,202,441,44970,4.49,9.81
苗栗縣苗栗市,482,733,88089,5.47,8.32
苗栗縣西湖鄉,25,89,6957,3.59,12.79
苗栗縣通霄鎮,149,418,33684,4.42,12.41
苗栗縣造橋鄉,57,130,12564,4.54,10.35
苗栗縣銅鑼鄉,107,195,17760,6.02,10.98
苗栗縣頭份市,613,708,103275,5.94,6.86
苗栗縣頭屋鄉,51,115,10572,4.82,10.88
連江縣,146,58,13095,11.15,4.43
連江縣北竿鄉,25,11,2534,9.87,4.34
連江縣南竿鄉,83,36,7612,10.9,4.73
連江縣東引鄉,22,3,1352,16.27,2.22
連江縣莒光鄉,16,8,1597,10.02,5.01
金門縣,1211,796,139281,8.69,5.72
金門縣烈嶼鄉,94,86,12767,7.36,6.74
金門縣烏坵鄉,7,2,684,10.23,2.92
金門縣金城鎮,352,223,43300,8.13,5.15
金門縣金寧鄉,296,170,31790,9.31,5.35
金門縣金沙鎮,158,137,20790,7.6,6.59
金門縣金湖鎮,304,178,29950,10.15,5.94
雲林縣,4251,7217,683318,6.22,10.56
雲林縣二崙鄉,142,357,26624,5.33,13.41
雲林縣元長鄉,122,361,25360,4.81,14.24
雲林縣北港鎮,228,449,39681,5.75,11.32
雲林縣口湖鄉,137,320,27017,5.07,11.84
雲林縣古坑鄉,194,381,31307,6.2,12.17
雲林縣四湖鄉,94,332,22947,4.1,14.47
雲林縣土庫鎮,156,301,28691,5.44,10.49
雲林縣大埤鄉,101,229,18904,5.34,12.11
雲林縣崙背鄉,122,282,24165,5.05,11.67
雲林縣斗六市,696,781,108573,6.41,7.19
雲林縣斗南鎮,283,389,44370,6.38,8.77
雲林縣東勢鄉,70,198,14565,4.81,13.59
雲林縣林內鄉,105,202,18011,5.83,11.22
雲林縣水林鄉,105,400,24965,4.21,16.02
雲林縣臺西鄉,130,291,23437,5.55,12.42
雲林縣莿桐鄉,197,306,28599,6.89,10.7
雲林縣虎尾鎮,476,655,70902,6.71,9.24
雲林縣褒忠鄉,66,152,12779,5.16,11.89
雲林縣西螺鎮,329,490,45940,7.16,10.67
雲林縣麥寮鄉,498,341,46481,10.71,7.34
高雄市,19447,21821,2773177,7.01,7.87
高雄市三民區,2122,2347,340126,6.24,6.9
高雄市仁武區,816,541,88703,9.2,6.1
高雄市內門區,96,177,14302,6.71,12.38
高雄市六龜區,64,184,12789,5,14.39
高雄市前金區,131,271,26829,4.88,10.1
高雄市前鎮區,1172,1535,187837,6.24,8.17
高雄市大寮區,884,950,112502,7.86,8.44
高雄市大樹區,296,445,42208,7.01,10.54
高雄市大社區,234,267,34532,6.78,7.73
高雄市小港區,1198,1117,157685,7.6,7.08
高雄市岡山區,699,763,97148,7.2,7.85
高雄市左營區,1271,1346,197248,6.44,6.82
高雄市彌陀區,135,208,19141,7.05,10.87
高雄市新興區,264,445,51015,5.17,8.72
高雄市旗山區,200,465,36455,5.49,12.76
高雄市旗津區,236,293,28318,8.33,10.35
高雄市杉林區,62,173,11712,5.29,14.77
高雄市林園區,485,641,69801,6.95,9.18
高雄市桃源區,50,48,4281,11.68,11.21
高雄市梓官區,240,296,35775,6.71,8.27
高雄市楠梓區,1642,1154,186780,8.79,6.18
高雄市橋頭區,261,311,37875,6.89,8.21
高雄市永安區,129,121,13854,9.31,8.73
高雄市湖內區,217,264,29725,7.3,8.88
高雄市燕巢區,206,338,29807,6.91,11.34
高雄市田寮區,46,121,7116,6.46,17
高雄市甲仙區,27,83,5970,4.52,13.9
高雄市美濃區,183,596,39352,4.65,15.15
高雄市苓雅區,944,1369,169187,5.58,8.09
高雄市茂林區,22,16,1976,11.13,8.1
高雄市茄萣區,227,271,29947,7.58,9.05
高雄市路竹區,415,493,52395,7.92,9.41
高雄市那瑪夏區,46,30,3148,14.61,9.53
高雄市阿蓮區,223,212,28581,7.8,7.42
高雄市鳥松區,348,345,44736,7.78,7.71
高雄市鳳山區,2773,2425,359850,7.71,6.74
高雄市鹽埕區,137,258,23948,5.72,10.77
高雄市鼓山區,946,902,140523,6.73,6.42
