區域,年出生數,年死亡數,年中人口(6月底),粗出生率,粗死亡率
宜蘭縣宜蘭市,705,711,95919,7.35,7.41
宜蘭縣礁溪鄉,263,374,35857,7.33,10.43
宜蘭縣羅東鎮,552,504,72487,7.62,6.95
宜蘭縣蘇澳鎮,296,389,40283,7.35,9.66
宜蘭縣頭城鎮,276,325,29569,9.33,10.99
屏東縣三地門鄉,82,79,7631,10.75,10.35
屏東縣九如鄉,132,217,22098,5.97,9.82
屏東縣佳冬鄉,67,246,19544,3.43,12.59
屏東縣來義鄉,73,86,7477,9.76,11.5
屏東縣內埔鄉,234,596,54901,4.26,10.86
屏東縣南州鄉,48,111,10737,4.47,10.34
屏東縣屏東市,1002,1775,200995,4.99,8.83
屏東縣崁頂鄉,93,163,15821,5.88,10.3
屏東縣恆春鎮,302,354,30653,9.85,11.55
屏東縣新園鄉,167,348,35458,4.71,9.81
屏東縣新埤鄉,43,140,9861,4.36,14.2
屏東縣春日鄉,50,66,4833,10.35,13.66
屏東縣東港鎮,307,401,48051,6.39,8.35
屏東縣枋寮鄉,141,323,24709,5.71,13.07
屏東縣枋山鄉,24,88,5456,4.4,16.13
屏東縣林邊鄉,142,236,18192,7.81,12.97
屏東縣泰武鄉,61,59,5240,11.64,11.26
屏東縣滿州鄉,49,106,7808,6.28,13.58
屏東縣潮州鎮,239,462,54648,4.37,8.45
屏東縣牡丹鄉,34,53,4895,6.95,10.83
屏東縣獅子鄉,61,66,4796,12.72,13.76
屏東縣琉球鄉,85,114,12379,6.87,9.21
屏東縣瑪家鄉,78,85,6741,11.57,12.61
屏東縣竹田鄉,83,222,17244,4.81,12.87
屏東縣萬丹鄉,277,455,51077,5.42,8.91
屏東縣萬巒鄉,140,241,20619,6.79,11.69
屏東縣車城鄉,37,150,8663,4.27,17.32
屏東縣里港鄉,254,270,26730,9.5,10.1
屏東縣長治鄉,153,298,30029,5.1,9.92
屏東縣霧臺鄉,20,42,3244,6.17,12.95
屏東縣高樹鄉,104,348,24716,4.21,14.08
屏東縣鹽埔鄉,202,289,26118,7.73,11.07
屏東縣麟洛鄉,40,124,11125,3.6,11.15
彰化縣二林鎮,472,525,51271,9.21,10.24
彰化縣二水鄉,125,203,15390,8.12,13.19
彰化縣伸港鄉,407,256,36815,11.06,6.95
彰化縣北斗鎮,361,244,33300,10.84,7.33
彰化縣和美鎮,983,586,91106,10.79,6.43
彰化縣員林市,1278,857,124690,10.25,6.87
彰化縣埔心鄉,358,283,34831,10.28,8.12
彰化縣埔鹽鄉,329,329,32659,10.07,10.07
彰化縣埤頭鄉,313,313,30661,10.21,10.21
彰化縣大城鄉,132,218,17112,7.71,12.74
彰化縣大村鄉,424,307,36833,11.51,8.33
彰化縣彰化市,2356,1492,234159,10.06,6.37
彰化縣永靖鄉,345,365,37598,9.18,9.71
彰化縣溪州鄉,269,340,30180,8.91,11.27
彰化縣溪湖鎮,573,445,55694,10.29,7.99
彰化縣田中鎮,392,453,42007,9.33,10.78
彰化縣田尾鄉,224,263,27497,8.15,9.56
彰化縣社頭鄉,421,356,43305,9.72,8.22
彰化縣福興鄉,494,380,47411,10.42,8.02
彰化縣秀水鄉,423,256,39354,10.75,6.51
彰化縣竹塘鄉,133,200,15373,8.65,13.01
彰化縣線西鄉,187,124,16864,11.09,7.35
彰化縣芬園鄉,287,258,23738,12.09,10.87
彰化縣花壇鄉,472,360,46043,10.25,7.82
彰化縣芳苑鄉,310,436,33844,9.16,12.88
彰化縣鹿港鎮,1002,612,86688,11.56,7.06
新北市三峽區,991,753,114396,8.66,6.58
新北市三芝區,132,194,23298,5.67,8.33
新北市三重區,3085,2510,387881,7.95,6.47
新北市中和區,3260,2661,413489,7.88,6.44
新北市五股區,712,481,84431,8.43,5.7
新北市八里區,340,218,38152,8.91,5.71
新北市土城區,1935,1197,238353,8.12,5.02
新北市坪林區,28,67,6541,4.28,10.24
新北市平溪區,24,77,4736,5.07,16.26
新北市新店區,2046,1950,301450,6.79,6.47
新北市新莊區,3698,1984,415412,8.9,4.78
新北市板橋區,4531,3052,552004,8.21,5.53
新北市林口區,964,442,104630,9.21,4.22
新北市樹林區,1638,974,184359,8.88,5.28
新北市永和區,1476,1411,223701,6.6,6.31
新北市汐止區,1395,1174,198535,7.03,5.91
新北市泰山區,679,384,78906,8.61,4.87
新北市淡水區,1248,984,167614,7.45,5.87
新北市深坑區,158,142,23679,6.67,6
新北市烏來區,77,53,6215,12.39,8.53
新北市瑞芳區,303,430,40518,7.48,10.61
新北市石碇區,34,89,7692,4.42,11.57
新北市石門區,92,107,12360,7.44,8.66
新北市萬里區,141,213,22341,6.31,9.53
新北市蘆洲區,1658,948,201223,8.24,4.71
新北市貢寮區,72,133,12566,5.73,10.58
新北市金山區,155,198,22039,7.03,8.98
新北市雙溪區,39,127,9004,4.33,14.1
新北市鶯歌區,700,572,86909,8.05,6.58
新竹市北區,1446,1064,150304,9.62,7.08
新竹市東區,1971,1119,211429,9.32,5.29
新竹市香山區,870,478,77566,11.22,6.16
新竹縣五峰鄉,66,58,4533,14.56,12.8
新竹縣北埔鄉,56,111,9483,5.91,11.71
新竹縣寶山鄉,84,132,14455,5.81,9.13
新竹縣尖石鄉,152,94,9402,16.17,10
新竹縣峨眉鄉,40,86,5570,7.18,15.44
新竹縣新埔鎮,271,355,33568,8.07,10.58
新竹縣新豐鄉,442,311,56663,7.8,5.49
新竹縣橫山鄉,66,175,13195,5,13.26
新竹縣湖口鄉,559,503,77460,7.22,6.49
新竹縣竹北市,2133,696,179145,11.91,3.89
新竹縣竹東鎮,791,637,96899,8.16,6.57
新竹縣芎林鄉,153,165,20047,7.63,8.23
新竹縣關西鎮,140,318,29160,4.8,10.91
桃園市中壢區,4318,2250,400716,10.78,5.61
桃園市八德區,2282,1241,195322,11.68,6.35
桃園市大園區,965,550,88295,10.93,6.23
桃園市大溪區,993,744,94326,10.53,7.89
桃園市平鎮區,2534,1202,223106,11.36,5.39
桃園市復興區,166,163,11324,14.66,14.39
桃園市新屋區,435,460,48784,8.92,9.43
桃園市桃園區,4308,2142,437830,9.84,4.89
桃園市楊梅區,1824,965,165524,11.02,5.83
桃園市蘆竹區,1754,733,160263,10.94,4.57
桃園市觀音區,736,486,65954,11.16,7.37
桃園市龍潭區,1220,750,121068,10.08,6.19
桃園市龜山區,1821,934,155104,11.74,6.02
澎湖縣七美鄉,52,28,3827,13.59,7.32
澎湖縣望安鄉,51,55,5195,9.82,10.59
澎湖縣湖西鄉,166,144,14457,11.48,9.96
澎湖縣白沙鄉,105,104,9805,10.71,10.61
澎湖縣西嶼鄉,101,96,8395,12.03,11.44
澎湖縣馬公市,563,420,61727,9.12,6.8
臺中市中區,119,187,18645,6.38,10.03
臺中市北區,1168,966,147630,7.91,6.54
臺中市北屯區,2403,1393,272609,8.81,5.11
臺中市南區,1086,617,124028,8.76,4.97
臺中市南屯區,1404,772,167723,8.37,4.6
臺中市后里區,494,427,54382,9.08,7.85
臺中市和平區,92,115,10837,8.49,10.61
臺中市外埔區,281,239,32001,8.78,7.47
臺中市大安區,158,171,19367,8.16,8.83
臺中市大甲區,635,558,77726,8.17,7.18
臺中市大肚區,520,387,57285,9.08,6.76
臺中市大里區,1912,1069,210940,9.06,5.07
臺中市大雅區,897,512,94917,9.45,5.39
臺中市太平區,1707,1122,187362,9.11,5.99
臺中市新社區,173,256,24822,6.97,10.31
臺中市東勢區,359,543,50866,7.06,10.68
臺中市東區,649,588,75635,8.58,7.77
臺中市梧棲區,576,325,57809,9.96,5.62
臺中市沙鹿區,1049,548,92039,11.4,5.95
臺中市清水區,731,632,86440,8.46,7.31
臺中市潭子區,975,616,107935,9.03,5.71
臺中市烏日區,638,492,74109,8.61,6.64
臺中市石岡區,98,163,15104,6.49,10.79
臺中市神岡區,624,424,65587,9.51,6.46
臺中市西區,800,711,115762,6.91,6.14
臺中市西屯區,2038,1049,225827,9.02,4.65
臺中市豐原區,1402,1126,166794,8.41,6.75
臺中市霧峰區,607,453,65109,9.32,6.96
臺中市龍井區,743,443,77289,9.61,5.73
臺北市中山區,2121,1514,231068,9.18,6.55
臺北市中正區,1466,1050,160644,9.13,6.54
臺北市信義區,2124,1565,226379,9.38,6.91
臺北市內湖區,2915,1411,287746,10.13,4.9
臺北市北投區,2488,1665,256766,9.69,6.48
臺北市南港區,1303,717,122214,10.66,5.87
臺北市士林區,2676,1943,289149,9.25,6.72
臺北市大同區,1349,1004,129667,10.4,7.74
臺北市大安區,2494,2040,311124,8.02,6.56
臺北市文山區,2525,1626,274689,9.19,5.92
臺北市松山區,1693,1288,207957,8.14,6.19
臺北市萬華區,1888,1644,192442,9.81,8.54
臺南市七股區,102,294,23058,4.42,12.75
臺南市下營區,135,294,24385,5.54,12.06
臺南市中西區,393,650,77358,5.08,8.4
臺南市仁德區,654,542,75167,8.7,7.21
臺南市佳里區,423,476,59510,7.11,8
臺南市六甲區,130,271,22356,5.81,12.12
臺南市北區,985,999,132837,7.42,7.52
臺南市北門區,72,125,11228,6.41,11.13
臺南市南化區,56,101,8773,6.38,11.51
臺南市南區,897,958,125731,7.13,7.62
臺南市善化區,439,397,47926,9.16,8.28
臺南市大內區,51,150,9882,5.16,15.18
臺南市學甲區,163,262,26225,6.22,9.99
臺南市安南區,1745,1137,191694,9.1,5.93
臺南市安定區,241,266,30507,7.9,8.72
臺南市安平區,507,361,66003,7.68,5.47
臺南市官田區,132,252,21482,6.14,11.73
臺南市將軍區,111,232,19947,5.56,11.63
臺南市山上區,67,92,7336,9.13,12.54
臺南市左鎮區,14,93,4925,2.84,18.88
臺南市後壁區,135,333,23901,5.65,13.93
臺南市新化區,293,365,43694,6.71,8.35
臺南市新市區,301,232,36387,8.27,6.38
臺南市新營區,515,606,78153,6.59,7.75
臺南市東區,1135,1090,187444,6.06,5.82
臺南市東山區,145,282,21176,6.85,13.32
臺南市柳營區,142,271,21420,6.63,12.65
臺南市楠西區,46,135,9806,4.69,13.77
臺南市歸仁區,569,424,68406,8.32,6.2
臺南市永康區,2031,1307,233112,8.71,5.61
臺南市玉井區,73,204,14194,5.14,14.37
臺南市白河區,169,396,28713,5.89,13.79
臺南市西港區,178,218,24803,7.18,8.79
臺南市關廟區,255,360,34455,7.4,10.45
臺南市鹽水區,163,326,25699,6.34,12.69
臺南市麻豆區,291,431,44732,6.51,9.64
臺南市龍崎區,15,64,4077,3.68,15.7
臺東縣卑南鄉,112,209,17431,6.43,11.99
臺東縣大武鄉,42,70,6131,6.85,11.42
臺東縣太麻里鄉,70,143,11193,6.25,12.78
臺東縣延平鄉,30,44,3527,8.51,12.48
臺東縣成功鎮,86,193,14337,6,13.46
臺東縣東河鄉,32,140,8591,3.72,16.3
臺東縣池上鄉,45,122,8280,5.43,14.73
臺東縣海端鄉,35,51,4254,8.23,11.99
臺東縣綠島鄉,41,17,3804,10.78,4.47
臺東縣臺東市,739,928,106270,6.95,8.73
臺東縣蘭嶼鄉,53,36,5035,10.53,7.15
臺東縣達仁鄉,30,48,3546,8.46,13.54
臺東縣金峰鄉,37,29,3639,10.17,7.97
臺東縣長濱鄉,39,134,7293,5.35,18.37
臺東縣關山鎮,48,107,8770,5.47,12.2
臺東縣鹿野鄉,45,108,7982,5.64,13.53
花蓮縣光復鄉,74,154,12959,5.71,11.88
花蓮縣卓溪鄉,92,79,6036,15.24,13.09
花蓮縣吉安鄉,603,620,83625,7.21,7.41
花蓮縣壽豐鄉,116,223,18105,6.41,12.32
花蓮縣富里鄉,55,192,10456,5.26,18.36
花蓮縣新城鄉,178,211,20155,8.83,10.47
花蓮縣玉里鎮,129,352,24587,5.25,14.32
花蓮縣瑞穗鄉,70,177,11677,5.99,15.16
花蓮縣秀林鄉,209,186,15753,13.27,11.81
花蓮縣花蓮市,695,800,104919,6.62,7.62
花蓮縣萬榮鄉,60,82,6363,9.43,12.89
花蓮縣豐濱鄉,28,67,4403,6.36,15.22
花蓮縣鳳林鎮,63,147,10938,5.76,13.44
苗栗縣三灣鄉,32,110,6808,4.7,16.16
苗栗縣三義鄉,104,161,16695,6.23,9.64
苗栗縣公館鄉,243,318,34025,7.14,9.35
苗栗縣卓蘭鎮,114,209,17334,6.58,12.06
苗栗縣南庄鄉,75,147,10281,7.3,14.3
苗栗縣大湖鄉,83,183,14886,5.58,12.29
苗栗縣後龍鎮,237,429,37039,6.4,11.58
苗栗縣泰安鄉,52,86,5853,8.88,14.69
苗栗縣獅潭鄉,23,74,4444,5.18,16.65
苗栗縣竹南鎮,644,547,85256,7.55,6.42
苗栗縣苑裡鎮,330,447,46461,7.1,9.62
苗栗縣苗栗市,578,682,89504,6.46,7.62
苗栗縣西湖鄉,24,88,7236,3.32,12.16
苗栗縣通霄鎮,231,392,35055,6.59,11.18
苗栗縣造橋鄉,75,114,13037,5.75,8.74
苗栗縣銅鑼鄉,111,190,18347,6.05,10.36
苗栗縣頭份市,810,669,103097,7.86,6.49
苗栗縣頭屋鄉,78,125,10966,7.11,11.4
連江縣北竿鄉,34,12,2362,14.39,5.08
連江縣南竿鄉,80,33,7442,10.75,4.43
連江縣東引鄉,18,6,1317,13.67,4.56
連江縣莒光鄉,7,13,1595,4.39,8.15
金門縣烈嶼鄉,87,80,12589,6.91,6.35
金門縣烏坵鄉,8,3,682,11.73,4.4
金門縣金城鎮,438,228,43027,10.18,5.3
金門縣金寧鄉,290,172,29884,9.7,5.76
金門縣金沙鎮,157,135,20394,7.7,6.62
金門縣金湖鎮,301,150,28987,10.38,5.17
雲林縣二崙鄉,168,326,27365,6.14,11.91
雲林縣元長鄉,151,378,26181,5.77,14.44
雲林縣北港鎮,244,419,40514,6.02,10.34
雲林縣口湖鄉,153,344,27855,5.49,12.35
雲林縣古坑鄉,188,359,31806,5.91,11.29
雲林縣四湖鄉,110,357,23896,4.6,14.94
雲林縣土庫鎮,160,325,29086,5.5,11.17
雲林縣大埤鄉,127,257,19353,6.56,13.28
雲林縣崙背鄉,162,304,24871,6.51,12.22
雲林縣斗六市,753,752,108603,6.93,6.92
雲林縣斗南鎮,280,464,45138,6.2,10.28
雲林縣東勢鄉,71,214,15009,4.73,14.26
雲林縣林內鄉,113,199,18410,6.14,10.81
雲林縣水林鄉,136,400,25757,5.28,15.53
雲林縣臺西鄉,148,357,24072,6.15,14.83
雲林縣莿桐鄉,215,278,28987,7.42,9.59
雲林縣虎尾鎮,505,615,70967,7.12,8.67
雲林縣褒忠鄉,58,160,13064,4.44,12.25
雲林縣西螺鎮,350,494,46440,7.54,10.64
雲林縣麥寮鄉,441,322,45196,9.76,7.12
高雄市三民區,2327,2273,344652,6.75,6.6
高雄市仁武區,822,506,84911,9.68,5.96
高雄市內門區,78,198,14618,5.34,13.54
高雄市六龜區,61,196,13109,4.65,14.95
高雄市前金區,144,250,27144,5.31,9.21
高雄市前鎮區,1284,1496,190589,6.74,7.85
高雄市大寮區,938,932,112273,8.35,8.3
高雄市大樹區,295,409,42857,6.88,9.54
高雄市大社區,244,288,34499,7.07,8.35
高雄市小港區,1242,950,157219,7.9,6.04
高雄市岡山區,699,734,97512,7.17,7.53
高雄市左營區,1374,1351,197100,6.97,6.85
高雄市彌陀區,156,180,19441,8.02,9.26
高雄市新興區,262,417,51141,5.12,8.15
高雄市旗山區,225,438,37158,6.06,11.79
高雄市旗津區,268,284,28785,9.31,9.87
高雄市杉林區,58,202,12123,4.78,16.66
高雄市林園區,517,600,70044,7.38,8.57
高雄市桃源區,48,46,4233,11.34,10.87
高雄市梓官區,276,351,36189,7.63,9.7
高雄市楠梓區,1606,1178,182755,8.79,6.45
高雄市橋頭區,247,317,37544,6.58,8.44
高雄市永安區,149,132,13983,10.66,9.44
高雄市湖內區,231,259,29854,7.74,8.68
高雄市燕巢區,216,351,29856,7.23,11.76
高雄市田寮區,26,133,7271,3.58,18.29
高雄市甲仙區,29,87,6142,4.72,14.16
高雄市美濃區,217,500,40233,5.39,12.43
高雄市苓雅區,1005,1383,171874,5.85,8.05
高雄市茂林區,24,22,1912,12.55,11.51
高雄市茄萣區,208,288,30335,6.86,9.49
高雄市路竹區,405,418,52867,7.66,7.91
高雄市那瑪夏區,44,19,3103,14.18,6.12
高雄市阿蓮區,205,267,28971,7.08,9.22
高雄市鳥松區,334,345,44332,7.53,7.78
高雄市鳳山區,2875,2369,358477,8.02,6.61
高雄市鹽埕區,137,294,24467,5.6,12.02
高雄市鼓山區,984,905,138450,7.11,6.54
