區域,年出生數,年死亡數,年中人口(6月底),粗出生率,粗死亡率
屏東縣枋寮鄉,112,279,24974,4.48,11.17
屏東縣枋山鄉,35,82,5558,6.3,14.75
屏東縣林邊鄉,131,217,18504,7.08,11.73
屏東縣泰武鄉,62,52,5210,11.9,9.98
屏東縣滿州鄉,40,114,7943,5.04,14.35
屏東縣潮州鎮,264,487,54773,4.82,8.89
屏東縣牡丹鄉,47,54,4815,9.76,11.21
屏東縣獅子鄉,61,46,4806,12.69,9.57
屏東縣琉球鄉,87,101,12441,6.99,8.12
屏東縣瑪家鄉,65,76,6736,9.65,11.28
屏東縣竹田鄉,77,195,17464,4.41,11.17
屏東縣萬丹鄉,302,491,51415,5.87,9.55
屏東縣萬巒鄉,139,275,20703,6.71,13.28
屏東縣車城鄉,46,152,8860,5.19,17.16
屏東縣里港鄉,329,255,27137,12.12,9.4
屏東縣長治鄉,160,296,30185,5.3,9.81
屏東縣霧臺鄉,38,44,3299,11.52,13.34
屏東縣高樹鄉,100,326,24976,4,13.05
屏東縣鹽埔鄉,205,276,26251,7.81,10.51
屏東縣麟洛鄉,49,115,11193,4.38,10.27
彰化縣二林鎮,478,510,51729,9.24,9.86
彰化縣二水鄉,161,217,15600,10.32,13.91
彰化縣伸港鄉,422,262,36555,11.54,7.17
彰化縣北斗鎮,366,259,33267,11,7.79
彰化縣和美鎮,1019,572,91250,11.17,6.27
彰化縣員林市,1438,888,125120,11.49,7.1
彰化縣埔心鄉,361,326,34755,10.39,9.38
彰化縣埔鹽鄉,352,295,32900,10.7,8.97
彰化縣埤頭鄉,349,316,30859,11.31,10.24
彰化縣大城鄉,136,242,17390,7.82,13.92
彰化縣大村鄉,414,288,36640,11.3,7.86
彰化縣彰化市,2533,1515,235127,10.77,6.44
彰化縣永靖鄉,357,324,37933,9.41,8.54
彰化縣溪州鄉,294,319,30492,9.64,10.46
彰化縣溪湖鎮,597,433,55730,10.71,7.77
彰化縣田中鎮,385,455,42317,9.1,10.75
彰化縣田尾鄉,273,259,27605,9.89,9.38
彰化縣社頭鄉,493,313,43378,11.37,7.22
彰化縣福興鄉,522,380,47494,10.99,8
彰化縣秀水鄉,430,276,39367,10.92,7.01
彰化縣竹塘鄉,128,199,15553,8.23,12.79
彰化縣線西鄉,175,154,16992,10.3,9.06
彰化縣芬園鄉,283,250,23927,11.83,10.45
彰化縣花壇鄉,499,338,46040,10.84,7.34
彰化縣芳苑鄉,323,403,34121,9.47,11.81
彰化縣鹿港鎮,1019,591,86662,11.76,6.82
新北市三峽區,1101,732,113442,9.71,6.45
新北市三芝區,154,214,23369,6.59,9.16
新北市三重區,3288,2418,388014,8.47,6.23
新北市中和區,3483,2517,413709,8.42,6.08
新北市五股區,732,479,83380,8.78,5.74
新北市八里區,350,248,37835,9.25,6.55
新北市土城區,2139,1185,238389,8.97,4.97
新北市坪林區,45,71,6515,6.91,10.9
新北市平溪區,24,65,4803,5,13.53
新北市新店區,2197,1936,300074,7.32,6.45
新北市新莊區,3856,1925,413805,9.32,4.65
新北市板橋區,4932,3103,553430,8.91,5.61
新北市林口區,1090,430,101731,10.71,4.23
新北市樹林區,1808,989,184284,9.81,5.37
新北市永和區,1606,1473,225060,7.14,6.54
新北市汐止區,1633,1186,196408,8.31,6.04
新北市泰山區,781,410,78912,9.9,5.2
新北市淡水區,1314,910,163704,8.03,5.56
新北市深坑區,175,153,23624,7.41,6.48
新北市烏來區,76,42,6167,12.32,6.81
新北市瑞芳區,290,454,40742,7.12,11.14
新北市石碇區,39,95,7770,5.02,12.23
新北市石門區,87,119,12560,6.93,9.47
新北市萬里區,188,241,22561,8.33,10.68
新北市蘆洲區,1824,891,200150,9.11,4.45
新北市貢寮區,87,143,12791,6.8,11.18
新北市金山區,188,178,22225,8.46,8.01
新北市雙溪區,63,128,9158,6.88,13.98
新北市鶯歌區,781,521,87592,8.92,5.95
新竹市北區,1466,1042,149439,9.81,6.97
新竹市東區,2192,1177,208734,10.5,5.64
新竹市香山區,939,496,77065,12.18,6.44
新竹縣五峰鄉,48,58,4552,10.54,12.74
新竹縣北埔鄉,51,121,9602,5.31,12.6
新竹縣寶山鄉,122,131,14294,8.54,9.16
新竹縣尖石鄉,153,110,9300,16.45,11.83
新竹縣峨眉鄉,43,81,5618,7.65,14.42
新竹縣新埔鎮,316,361,33984,9.3,10.62
新竹縣新豐鄉,524,363,56293,9.31,6.45
新竹縣橫山鄉,94,168,13425,7,12.51
新竹縣湖口鄉,698,516,77406,9.02,6.67
新竹縣竹北市,2331,623,173539,13.43,3.59
新竹縣竹東鎮,821,711,96812,8.48,7.34
新竹縣芎林鄉,172,211,20163,8.53,10.46
新竹縣關西鎮,183,343,29636,6.17,11.57
桃園市中壢區,4387,2284,392651,11.17,5.82
桃園市八德區,2247,1271,189982,11.83,6.69
桃園市大園區,932,570,86153,10.82,6.62
桃園市大溪區,974,753,93724,10.39,8.03
桃園市平鎮區,2520,1243,219629,11.47,5.66
桃園市復興區,169,108,11077,15.26,9.75
桃園市新屋區,442,428,48683,9.08,8.79
桃園市桃園區,4519,2092,430992,10.49,4.85
桃園市楊梅區,1860,978,162419,11.45,6.02
桃園市蘆竹區,1862,695,156921,11.87,4.43
桃園市觀音區,671,497,65139,10.3,7.63
桃園市龍潭區,1343,806,119318,11.26,6.76
桃園市龜山區,1860,912,147651,12.6,6.18
澎湖縣七美鄉,37,46,3746,9.88,12.28
澎湖縣望安鄉,54,56,5123,10.54,10.93
澎湖縣湖西鄉,121,159,14386,8.41,11.05
澎湖縣白沙鄉,121,109,9699,12.48,11.24
澎湖縣西嶼鄉,71,112,8366,8.49,13.39
澎湖縣馬公市,600,492,61009,9.83,8.06
臺中市中區,111,168,18912,5.87,8.88
臺中市北區,1166,1000,147577,7.9,6.78
臺中市北屯區,2577,1414,267487,9.63,5.29
臺中市南區,1164,641,122541,9.5,5.23
臺中市南屯區,1492,678,165510,9.01,4.1
臺中市后里區,485,451,54238,8.94,8.32
臺中市和平區,88,119,10745,8.19,11.07
臺中市外埔區,301,253,31891,9.44,7.93
臺中市大安區,172,157,19496,8.82,8.05
臺中市大甲區,643,575,77729,8.27,7.4
臺中市大肚區,531,366,56937,9.33,6.43
臺中市大里區,2078,1058,209311,9.93,5.05
臺中市大雅區,961,494,93929,10.23,5.26
臺中市太平區,1827,1097,185188,9.87,5.92
臺中市新社區,203,269,24999,8.12,10.76
臺中市東勢區,392,564,51152,7.66,11.03
臺中市東區,660,604,75209,8.78,8.03
臺中市梧棲區,588,323,57361,10.25,5.63
臺中市沙鹿區,1230,556,90432,13.6,6.15
臺中市清水區,765,644,86216,8.87,7.47
臺中市潭子區,1001,572,106859,9.37,5.35
臺中市烏日區,714,431,73066,9.77,5.9
臺中市石岡區,110,149,15252,7.21,9.77
臺中市神岡區,653,450,65264,10.01,6.9
臺中市西區,898,720,115727,7.76,6.22
臺中市西屯區,2013,1081,222946,9.03,4.85
臺中市豐原區,1430,1086,166737,8.58,6.51
臺中市霧峰區,597,510,64739,9.22,7.88
臺中市龍井區,805,491,76741,10.49,6.4
臺北市中山區,2446,1522,231190,10.58,6.58
臺北市中正區,1608,1109,162080,9.92,6.84
臺北市信義區,2417,1642,228462,10.58,7.19
臺北市內湖區,3193,1482,287871,11.09,5.15
臺北市北投區,2658,1697,257769,10.31,6.58
臺北市南港區,1465,775,122329,11.98,6.34
臺北市士林區,3019,1848,290622,10.39,6.36
臺北市大同區,1444,950,130640,11.05,7.27
臺北市大安區,2876,2047,312896,9.19,6.54
臺北市文山區,2807,1791,275673,10.18,6.5
臺北市松山區,1970,1334,209574,9.4,6.37
臺北市萬華區,2089,1785,193819,10.78,9.21
臺南市七股區,119,307,23259,5.12,13.2
臺南市下營區,169,302,24607,6.87,12.27
臺南市中西區,486,638,77121,6.3,8.27
臺南市仁德區,674,594,74348,9.07,7.99
臺南市佳里區,441,480,59556,7.4,8.06
臺南市六甲區,137,224,22520,6.08,9.95
臺南市北區,1073,940,132916,8.07,7.07
臺南市北門區,71,131,11418,6.22,11.47
臺南市南化區,64,103,8837,7.24,11.66
臺南市南區,883,937,125691,7.03,7.45
臺南市善化區,475,381,47314,10.04,8.05
臺南市大內區,57,136,9966,5.72,13.65
臺南市學甲區,172,297,26527,6.48,11.2
臺南市安南區,1796,1082,190329,9.44,5.68
臺南市安定區,283,312,30443,9.3,10.25
臺南市安平區,523,313,65554,7.98,4.77
臺南市官田區,150,271,21532,6.97,12.59
臺南市將軍區,121,271,20171,6,13.44
臺南市山上區,53,86,7390,7.17,11.64
臺南市左鎮區,18,90,5029,3.58,17.9
臺南市後壁區,139,347,24208,5.74,14.33
臺南市新化區,325,415,43797,7.42,9.48
臺南市新市區,360,246,36021,9.99,6.83
臺南市新營區,563,684,78202,7.2,8.75
臺南市東區,1313,1124,188295,6.97,5.97
臺南市東山區,123,293,21466,5.73,13.65
臺南市柳營區,143,273,21497,6.65,12.7
臺南市楠西區,55,133,9950,5.53,13.37
臺南市歸仁區,600,447,68054,8.82,6.57
臺南市永康區,2167,1361,231384,9.37,5.88
臺南市玉井區,91,181,14341,6.35,12.62
臺南市白河區,149,445,29023,5.13,15.33
臺南市西港區,194,261,24919,7.79,10.47
臺南市關廟區,240,356,34699,6.92,10.26
臺南市鹽水區,145,300,25979,5.58,11.55
臺南市麻豆區,310,412,44887,6.91,9.18
臺南市龍崎區,16,61,4138,3.87,14.74
臺東縣卑南鄉,139,226,17468,7.96,12.94
臺東縣大武鄉,27,82,6232,4.33,13.16
臺東縣太麻里鄉,86,159,11293,7.62,14.08
臺東縣延平鄉,45,52,3527,12.76,14.74
臺東縣成功鎮,67,219,14503,4.62,15.1
臺東縣東河鄉,29,146,8773,3.31,16.64
臺東縣池上鄉,34,108,8447,4.03,12.79
臺東縣海端鄉,57,54,4265,13.36,12.66
臺東縣綠島鄉,48,24,3739,12.84,6.42
臺東縣臺東市,769,1029,106642,7.21,9.65
臺東縣蘭嶼鄉,43,26,5041,8.53,5.16
臺東縣達仁鄉,34,49,3568,9.53,13.73
臺東縣金峰鄉,43,38,3579,12.01,10.62
臺東縣長濱鄉,39,153,7462,5.23,20.5
臺東縣關山鎮,55,100,8907,6.17,11.23
臺東縣鹿野鄉,40,117,8058,4.96,14.52
花蓮縣光復鄉,70,165,13132,5.33,12.56
花蓮縣卓溪鄉,76,95,6004,12.66,15.82
花蓮縣吉安鄉,681,685,83421,8.16,8.21
花蓮縣壽豐鄉,136,226,18084,7.52,12.5
花蓮縣富里鄉,57,162,10595,5.38,15.29
花蓮縣新城鄉,213,216,20196,10.55,10.7
花蓮縣玉里鎮,187,363,24831,7.53,14.62
花蓮縣瑞穗鄉,84,147,11858,7.08,12.4
花蓮縣秀林鄉,235,186,15738,14.93,11.82
花蓮縣花蓮市,775,833,105507,7.35,7.9
花蓮縣萬榮鄉,77,96,6447,11.94,14.89
花蓮縣豐濱鄉,29,82,4495,6.45,18.24
花蓮縣鳳林鎮,62,157,11064,5.6,14.19
苗栗縣三灣鄉,53,84,6939,7.64,12.11
苗栗縣三義鄉,124,177,16946,7.32,10.44
苗栗縣公館鄉,265,316,34422,7.7,9.18
苗栗縣卓蘭鎮,145,196,17800,8.15,11.01
苗栗縣南庄鄉,77,147,10457,7.36,14.06
苗栗縣大湖鄉,117,173,15186,7.7,11.39
苗栗縣後龍鎮,293,407,37515,7.81,10.85
苗栗縣泰安鄉,52,75,5963,8.72,12.58
苗栗縣獅潭鄉,26,71,4543,5.72,15.63
苗栗縣竹南鎮,857,531,84823,10.1,6.26
苗栗縣苑裡鎮,396,448,47436,8.35,9.44
苗栗縣苗栗市,699,700,90211,7.75,7.76
苗栗縣西湖鄉,49,129,7361,6.66,17.52
苗栗縣通霄鎮,276,454,35804,7.71,12.68
苗栗縣造橋鄉,125,134,13247,9.44,10.12
苗栗縣銅鑼鄉,142,223,18562,7.65,12.01
苗栗縣頭份市,977,708,103116,9.47,6.87
苗栗縣頭屋鄉,83,116,11164,7.43,10.39
連江縣北竿鄉,29,8,2340,12.39,3.42
連江縣南竿鄉,89,38,7359,12.09,5.16
連江縣東引鄉,23,5,1280,17.97,3.91
連江縣莒光鄉,23,4,1557,14.77,2.57
金門縣烈嶼鄉,114,76,12459,9.15,6.1
金門縣烏坵鄉,8,4,658,12.16,6.08
金門縣金城鎮,416,263,42509,9.79,6.19
金門縣金寧鄉,278,138,28911,9.62,4.77
金門縣金沙鎮,203,121,20155,10.07,6
金門縣金湖鎮,341,146,28493,11.97,5.12
雲林縣二崙鄉,146,361,27748,5.26,13.01
雲林縣元長鄉,141,368,26583,5.3,13.84
雲林縣北港鎮,260,437,40864,6.36,10.69
雲林縣口湖鄉,195,355,28250,6.9,12.57
雲林縣古坑鄉,191,364,32103,5.95,11.34
雲林縣四湖鄉,136,356,24430,5.57,14.57
雲林縣土庫鎮,218,319,29384,7.42,10.86
雲林縣大埤鄉,138,236,19559,7.06,12.07
雲林縣崙背鄉,162,298,25284,6.41,11.79
雲林縣斗六市,765,782,108481,7.05,7.21
雲林縣斗南鎮,273,429,45436,6.01,9.44
雲林縣東勢鄉,104,203,15276,6.81,13.29
雲林縣林內鄉,124,180,18663,6.64,9.64
雲林縣水林鄉,147,413,26338,5.58,15.68
雲林縣臺西鄉,151,306,24339,6.2,12.57
雲林縣莿桐鄉,218,283,29121,7.49,9.72
雲林縣虎尾鎮,515,601,70613,7.29,8.51
雲林縣褒忠鄉,80,143,13267,6.03,10.78
雲林縣西螺鎮,325,444,46781,6.95,9.49
雲林縣麥寮鄉,485,354,44585,10.88,7.94
高雄市三民區,2590,2302,345404,7.5,6.66
高雄市仁武區,868,504,83262,10.42,6.05
高雄市內門區,74,213,14832,4.99,14.36
高雄市六龜區,72,212,13346,5.39,15.88
高雄市前金區,177,256,27240,6.5,9.4
高雄市前鎮區,1377,1498,191884,7.18,7.81
高雄市大寮區,928,954,111816,8.3,8.53
高雄市大樹區,334,398,43095,7.75,9.24
高雄市大社區,284,268,34610,8.21,7.74
高雄市小港區,1323,969,156396,8.46,6.2
高雄市岡山區,774,752,97787,7.92,7.69
高雄市左營區,1565,1304,196713,7.96,6.63
高雄市彌陀區,164,202,19640,8.35,10.29
高雄市新興區,272,458,51753,5.26,8.85
高雄市旗山區,222,452,37574,5.91,12.03
高雄市旗津區,290,315,28902,10.03,10.9
高雄市杉林區,72,179,12310,5.85,14.54
高雄市林園區,557,560,70261,7.93,7.97
高雄市桃源區,51,48,4224,12.07,11.36
高雄市梓官區,294,344,36251,8.11,9.49
高雄市楠梓區,1617,1142,180893,8.94,6.31
高雄市橋頭區,285,327,37332,7.63,8.76
高雄市永安區,162,114,14053,11.53,8.11
高雄市湖內區,250,235,29664,8.43,7.92
高雄市燕巢區,189,353,30019,6.3,11.76
高雄市田寮區,37,120,7395,5,16.23
高雄市甲仙區,41,91,6242,6.57,14.58
高雄市美濃區,217,521,40614,5.34,12.83
高雄市苓雅區,1159,1326,173803,6.67,7.63
高雄市茂林區,35,15,1899,18.43,7.9
高雄市茄萣區,213,308,30419,7,10.13
高雄市路竹區,443,437,53069,8.35,8.23
高雄市那瑪夏區,45,28,3142,14.32,8.91
高雄市阿蓮區,221,275,29201,7.57,9.42
高雄市鳥松區,366,290,44068,8.31,6.58
高雄市鳳山區,2929,2386,357040,8.2,6.68
高雄市鹽埕區,129,262,24829,5.2,10.55
高雄市鼓山區,1131,947,137110,8.25,6.91
