區域,年出生數,年中人口(6月底),出生率
臺中市石岡區,105,15309,6.86
臺中市神岡區,661,64995,10.17
臺中市西區,945,115824,8.16
臺中市西屯區,2156,220270,9.79
臺中市豐原區,1469,166665,8.81
臺中市霧峰區,587,64563,9.09
臺中市龍井區,812,76245,10.65
臺北市中山區,2461,230990,10.65
臺北市中正區,1679,163447,10.27
臺北市信義區,2475,229605,10.78
臺北市內湖區,3321,286696,11.58
臺北市北投區,2887,257783,11.2
臺北市南港區,1490,121640,12.25
臺北市士林區,3100,290688,10.66
臺北市大同區,1455,130991,11.11
臺北市大安區,2951,314361,9.39
臺北市文山區,3006,274903,10.93
臺北市松山區,1962,210648,9.31
臺北市萬華區,2200,194278,11.32
臺南市七股區,152,23518,6.46
臺南市下營區,194,24948,7.78
臺南市中西區,525,77837,6.74
臺南市仁德區,702,73374,9.57
臺南市佳里區,453,59618,7.6
臺南市六甲區,143,22687,6.3
臺南市北區,1207,132638,9.1
臺南市北門區,70,11580,6.04
臺南市南化區,73,8948,8.16
臺南市南區,986,125824,7.84
臺南市善化區,481,46577,10.33
臺南市大內區,57,10153,5.61
臺南市學甲區,197,26733,7.37
臺南市安南區,2008,188741,10.64
臺南市安定區,232,30276,7.66
臺南市安平區,551,65219,8.45
臺南市官田區,157,21593,7.27
臺南市將軍區,123,20412,6.03
臺南市山上區,68,7489,9.08
臺南市左鎮區,20,5105,3.92
臺南市後壁區,147,24448,6.01
臺南市新化區,343,43755,7.84
臺南市新市區,315,35682,8.83
臺南市新營區,543,78216,6.94
臺南市東區,1522,189708,8.02
臺南市東山區,129,21731,5.94
臺南市柳營區,150,21691,6.92
臺南市楠西區,58,10086,5.75
臺南市歸仁區,622,67686,9.19
臺南市永康區,2380,229999,10.35
臺南市玉井區,77,14455,5.33
臺南市白河區,146,29500,4.95
臺南市西港區,183,24879,7.36
臺南市關廟區,256,34783,7.36
臺南市鹽水區,152,26221,5.8
臺南市麻豆區,326,45020,7.24
臺南市龍崎區,21,4246,4.95
臺東縣卑南鄉,117,17553,6.67
臺東縣大武鄉,46,6423,7.16
臺東縣太麻里鄉,75,11414,6.57
臺東縣延平鄉,61,3565,17.11
臺東縣成功鎮,73,14768,4.94
臺東縣東河鄉,54,8887,6.08
臺東縣池上鄉,55,8496,6.47
臺東縣海端鄉,48,4332,11.08
臺東縣綠島鄉,36,3814,9.44
臺東縣臺東市,788,106844,7.38
臺東縣蘭嶼鄉,54,4993,10.82
臺東縣達仁鄉,28,3634,7.71
臺東縣金峰鄉,43,3631,11.84
臺東縣長濱鄉,33,7657,4.31
臺東縣關山鎮,50,9031,5.54
臺東縣鹿野鄉,44,8147,5.4
花蓮縣光復鄉,81,13271,6.1
花蓮縣卓溪鄉,72,6090,11.82
花蓮縣吉安鄉,652,82869,7.87
花蓮縣壽豐鄉,136,18151,7.49
花蓮縣富里鄉,76,10729,7.08
花蓮縣新城鄉,217,20182,10.75
花蓮縣玉里鎮,178,25202,7.06
花蓮縣瑞穗鄉,63,12001,5.25
花蓮縣秀林鄉,230,15505,14.83
花蓮縣花蓮市,832,106183,7.84
花蓮縣萬榮鄉,72,6477,11.12
花蓮縣豐濱鄉,21,4610,4.56
花蓮縣鳳林鎮,63,11154,5.65
苗栗縣三灣鄉,62,7067,8.77
苗栗縣三義鄉,155,17111,9.06
苗栗縣公館鄉,324,34645,9.35
苗栗縣卓蘭鎮,191,18239,10.47
苗栗縣南庄鄉,105,10601,9.9
苗栗縣大湖鄉,116,15395,7.53
苗栗縣後龍鎮,358,38095,9.4
苗栗縣泰安鄉,89,6092,14.61
苗栗縣獅潭鄉,31,4646,6.67
苗栗縣竹南鎮,958,84096,11.39
苗栗縣苑裡鎮,485,48218,10.06
苗栗縣苗栗市,817,90782,9
苗栗縣西湖鄉,53,7523,7.05
苗栗縣通霄鎮,343,36577,9.38
苗栗縣造橋鄉,155,13445,11.53
苗栗縣銅鑼鄉,207,18798,11.01
苗栗縣頭份市,1197,103057,11.61
苗栗縣頭屋鄉,110,11317,9.72
連江縣北竿鄉,23,2313,9.94
連江縣南竿鄉,107,7458,14.35
連江縣東引鄉,19,1271,14.95
連江縣莒光鄉,16,1454,11
金門縣烈嶼鄉,120,12207,9.83
金門縣烏坵鄉,5,669,7.47
金門縣金城鎮,466,41604,11.2
金門縣金寧鄉,274,27703,9.89
金門縣金沙鎮,193,19807,9.74
金門縣金湖鎮,338,27841,12.14
雲林縣二崙鄉,200,28165,7.1
雲林縣元長鄉,167,26988,6.19
雲林縣北港鎮,284,41297,6.88
雲林縣口湖鄉,198,28673,6.91
雲林縣古坑鄉,199,32478,6.13
雲林縣四湖鄉,148,24980,5.92
雲林縣土庫鎮,240,29546,8.12
雲林縣大埤鄉,121,19809,6.11
雲林縣崙背鄉,145,25652,5.65
雲林縣斗六市,780,108262,7.2
雲林縣斗南鎮,283,45778,6.18
雲林縣東勢鄉,88,15582,5.65
雲林縣林內鄉,106,18921,5.6
雲林縣水林鄉,166,26679,6.22
雲林縣臺西鄉,159,24756,6.42
雲林縣莿桐鄉,212,29363,7.22
雲林縣虎尾鎮,521,70405,7.4
雲林縣褒忠鄉,94,13441,6.99
雲林縣西螺鎮,373,47089,7.92
雲林縣麥寮鄉,502,44034,11.4
高雄市三民區,2761,347252,7.95
高雄市仁武區,878,81636,10.76
高雄市內門區,96,15053,6.38
高雄市六龜區,80,13559,5.9
高雄市前金區,173,27581,6.27
高雄市前鎮區,1436,193326,7.43
高雄市大寮區,936,111500,8.39
高雄市大樹區,339,43152,7.86
高雄市大社區,284,34473,8.24
高雄市小港區,1374,156083,8.8
高雄市岡山區,814,97745,8.33
高雄市左營區,1586,196001,8.09
高雄市彌陀區,151,19731,7.65
高雄市新興區,319,52271,6.1
高雄市旗山區,249,37938,6.56
高雄市旗津區,325,28854,11.26
高雄市杉林區,64,12437,5.15
高雄市林園區,582,70395,8.27
高雄市桃源區,52,4244,12.25
高雄市梓官區,304,36449,8.34
高雄市楠梓區,1515,179292,8.45
高雄市橋頭區,299,37306,8.01
高雄市永安區,170,14105,12.05
高雄市湖內區,244,29543,8.26
高雄市燕巢區,219,30259,7.24
高雄市田寮區,33,7545,4.37
高雄市甲仙區,28,6326,4.43
高雄市美濃區,233,41029,5.68
高雄市苓雅區,1126,175013,6.43
高雄市茂林區,21,1886,11.13
高雄市茄萣區,215,30528,7.04
高雄市路竹區,411,53063,7.75
高雄市那瑪夏區,45,3161,14.24
高雄市阿蓮區,203,29428,6.9
高雄市鳥松區,368,43789,8.4
高雄市鳳山區,3179,355510,8.94
高雄市鹽埕區,143,25220,5.67
高雄市鼓山區,1214,136152,8.92
