區域,年出生數,年死亡數,年中人口(6月底),粗出生率,粗死亡率
臺中市北區,1070,999,147662,7.25,6.77
臺中市北屯區,2295,1464,276725,8.29,5.29
臺中市南區,958,703,125422,7.64,5.61
臺中市南屯區,1269,752,169580,7.48,4.43
臺中市后里區,497,419,54613,9.1,7.67
臺中市和平區,80,117,11097,7.21,10.54
臺中市外埔區,256,255,32153,7.96,7.93
臺中市大安區,177,183,19275,9.18,9.49
臺中市大甲區,655,545,77734,8.43,7.01
臺中市大肚區,448,383,57383,7.81,6.67
臺中市大里區,1733,1073,211749,8.18,5.07
臺中市大雅區,869,567,95571,9.09,5.93
臺中市太平區,1693,1067,190264,8.9,5.61
臺中市新社區,168,240,24619,6.82,9.75
臺中市東勢區,342,523,50477,6.78,10.36
臺中市東區,573,580,76067,7.53,7.62
臺中市梧棲區,523,321,58145,8.99,5.52
臺中市沙鹿區,998,545,93225,10.71,5.85
臺中市清水區,700,667,86544,8.09,7.71
臺中市潭子區,861,569,108548,7.93,5.24
臺中市烏日區,623,468,74977,8.31,6.24
臺中市石岡區,94,150,15000,6.27,10
臺中市神岡區,604,427,65649,9.2,6.5
臺中市西區,748,711,115599,6.47,6.15
臺中市西屯區,1812,1126,227756,7.96,4.94
臺中市豐原區,1253,1080,167047,7.5,6.47
臺中市霧峰區,574,472,65599,8.75,7.2
臺中市龍井區,663,512,77891,8.51,6.57
臺北市,22849,17902,2675713,8.54,6.69
臺北市中山區,2036,1579,229856,8.86,6.87
臺北市中正區,1333,1082,159752,8.34,6.77
臺北市信義區,1900,1582,224297,8.47,7.05
臺北市內湖區,2623,1389,287437,9.13,4.83
臺北市北投區,2192,1736,255612,8.58,6.79
臺北市南港區,1224,807,121858,10.04,6.62
臺北市士林區,2490,1949,287545,8.66,6.78
臺北市大同區,1137,982,128578,8.84,7.64
臺北市大安區,2323,2040,309543,7.5,6.59
臺北市文山區,2322,1655,274129,8.47,6.04
臺北市松山區,1558,1341,206563,7.54,6.49
臺北市萬華區,1711,1760,190543,8.98,9.24
臺南市,12379,15195,1884717,6.57,8.06
臺南市七股區,108,294,22892,4.72,12.84
臺南市下營區,136,329,24056,5.65,13.68
臺南市中西區,420,616,77845,5.4,7.91
臺南市仁德區,564,514,75520,7.47,6.81
臺南市佳里區,379,521,59317,6.39,8.78
臺南市六甲區,119,217,22260,5.35,9.75
臺南市北區,837,919,132144,6.33,6.95
臺南市北門區,54,162,11146,4.84,14.53
臺南市南化區,66,119,8761,7.53,13.58
臺南市南區,778,999,125034,6.22,7.99
臺南市善化區,416,423,48656,8.55,8.69
臺南市大內區,33,150,9688,3.41,15.48
臺南市學甲區,116,292,25828,4.49,11.31
臺南市安南區,1662,1099,192759,8.62,5.7
臺南市安定區,212,266,30544,6.94,8.71
臺南市安平區,430,377,66653,6.45,5.66
臺南市官田區,142,258,21322,6.66,12.1
臺南市將軍區,111,260,19715,5.63,13.19
臺南市山上區,61,95,7325,8.33,12.97
臺南市左鎮區,12,77,4829,2.48,15.95
臺南市後壁區,109,329,23532,4.63,13.98
臺南市新化區,247,424,43606,5.66,9.72
臺南市新市區,302,254,36757,8.22,6.91
臺南市新營區,479,602,77858,6.15,7.73
臺南市東區,1030,1103,186563,5.52,5.91
臺南市東山區,109,302,20942,5.2,14.42
臺南市柳營區,113,248,21271,5.31,11.66
臺南市楠西區,53,125,9638,5.5,12.97
臺南市歸仁區,489,473,68464,7.14,6.91
臺南市永康區,1813,1373,234313,7.74,5.86
臺南市玉井區,83,205,14097,5.89,14.54
臺南市白河區,131,384,28294,4.63,13.57
臺南市西港區,156,244,24747,6.3,9.86
臺南市關廟區,216,307,34411,6.28,8.92
臺南市鹽水區,148,315,25487,5.81,12.36
臺南市麻豆區,231,454,44440,5.2,10.22
臺南市龍崎區,14,66,4003,3.5,16.49
臺東縣,1479,2305,219643,6.73,10.49
臺東縣卑南鄉,126,209,17334,7.27,12.06
臺東縣大武鄉,55,95,6118,8.99,15.53
臺東縣太麻里鄉,78,131,11187,6.97,11.71
臺東縣延平鄉,48,38,3659,13.12,10.39
臺東縣成功鎮,66,181,14201,4.65,12.75
臺東縣東河鄉,40,137,8529,4.69,16.06
臺東縣池上鄉,44,95,8232,5.34,11.54
臺東縣海端鄉,43,54,4195,10.25,12.87
臺東縣綠島鄉,53,24,4112,12.89,5.84
臺東縣臺東市,705,873,105734,6.67,8.26
臺東縣蘭嶼鄉,45,32,5081,8.86,6.3
臺東縣達仁鄉,24,51,3620,6.63,14.09
臺東縣金峰鄉,37,42,3733,9.91,11.25
臺東縣長濱鄉,35,145,7252,4.83,19.99
臺東縣關山鎮,41,91,8739,4.69,10.41
臺東縣鹿野鄉,39,107,7917,4.93,13.52
花蓮縣,2411,3516,328749,7.33,10.7
花蓮縣光復鄉,70,218,12867,5.44,16.94
花蓮縣卓溪鄉,85,76,6104,13.93,12.45
花蓮縣吉安鄉,572,704,83442,6.86,8.44
花蓮縣壽豐鄉,115,258,18044,6.37,14.3
花蓮縣富里鄉,59,167,10358,5.7,16.12
花蓮縣新城鄉,168,217,20098,8.36,10.8
花蓮縣玉里鎮,150,411,24213,6.2,16.97
花蓮縣瑞穗鄉,95,157,11721,8.11,13.39
花蓮縣秀林鄉,222,162,15902,13.96,10.19
花蓮縣花蓮市,725,816,103871,6.98,7.86
花蓮縣萬榮鄉,65,84,6459,10.06,13.01
花蓮縣豐濱鄉,22,88,4760,4.62,18.49
花蓮縣鳳林鎮,63,158,10910,5.77,14.48
苗栗縣,3346,4995,551082,6.07,9.06
苗栗縣三灣鄉,46,89,6719,6.85,13.25
苗栗縣三義鄉,95,180,16365,5.81,11
苗栗縣公館鄉,188,331,33480,5.62,9.89
苗栗縣卓蘭鎮,106,198,16893,6.27,11.72
苗栗縣南庄鄉,57,159,10142,5.62,15.68
苗栗縣大湖鄉,78,184,14603,5.34,12.6
苗栗縣後龍鎮,217,386,36501,5.95,10.58
苗栗縣泰安鄉,51,76,6074,8.4,12.51
苗栗縣獅潭鄉,15,86,4386,3.42,19.61
苗栗縣竹南鎮,601,548,85847,7,6.38
苗栗縣苑裡鎮,259,423,45587,5.68,9.28
苗栗縣苗栗市,496,668,88459,5.61,7.55
苗栗縣西湖鄉,22,94,7102,3.1,13.24
苗栗縣通霄鎮,164,430,34299,4.78,12.54
苗栗縣造橋鄉,62,134,12817,4.84,10.45
苗栗縣銅鑼鄉,114,198,18029,6.32,10.98
苗栗縣頭份市,709,682,102964,6.89,6.62
苗栗縣頭屋鄉,66,129,10815,6.1,11.93
連江縣,133,64,13044,10.2,4.91
連江縣北竿鄉,25,11,2404,10.4,4.58
連江縣南竿鄉,76,33,7652,9.93,4.31
連江縣東引鄉,15,9,1350,11.11,6.67
連江縣莒光鄉,17,11,1638,10.38,6.72
金門縣,1254,745,137837,9.1,5.4
金門縣烈嶼鄉,104,77,12813,8.12,6.01
金門縣烏坵鄉,2,2,686,2.92,2.92
金門縣金城鎮,358,223,43303,8.27,5.15
金門縣金寧鄉,310,171,30917,10.03,5.53
金門縣金沙鎮,173,128,20627,8.39,6.21
金門縣金湖鎮,307,144,29491,10.41,4.88
雲林縣,4100,7264,688717,5.95,10.55
雲林縣二崙鄉,139,331,27092,5.13,12.22
雲林縣元長鄉,146,365,25851,5.65,14.12
雲林縣北港鎮,256,464,40141,6.38,11.56
雲林縣口湖鄉,150,347,27499,5.45,12.62
雲林縣古坑鄉,147,380,31597,4.65,12.03
雲林縣四湖鄉,108,346,23453,4.6,14.75
雲林縣土庫鎮,188,304,28873,6.51,10.53
雲林縣大埤鄉,113,240,19126,5.91,12.55
雲林縣崙背鄉,134,301,24543,5.46,12.26
雲林縣斗六市,655,790,108566,6.03,7.28
雲林縣斗南鎮,230,417,44775,5.14,9.31
雲林縣東勢鄉,64,202,14928,4.29,13.53
雲林縣林內鄉,101,208,18263,5.53,11.39
雲林縣水林鄉,102,382,25526,4,14.97
雲林縣臺西鄉,124,300,23933,5.18,12.53
雲林縣莿桐鄉,196,313,28796,6.81,10.87
雲林縣虎尾鎮,487,606,70874,6.87,8.55
雲林縣褒忠鄉,58,144,13031,4.45,11.05
雲林縣西螺鎮,260,469,46175,5.63,10.16
雲林縣麥寮鄉,442,355,45675,9.68,7.77
高雄市,20107,21496,2773932,7.25,7.75
高雄市三民區,2327,2309,341985,6.8,6.75
高雄市仁武區,817,498,86727,9.42,5.74
高雄市內門區,94,202,14535,6.47,13.9
高雄市六龜區,78,177,13008,6,13.61
高雄市前金區,158,263,26859,5.88,9.79
高雄市前鎮區,1225,1487,188967,6.48,7.87
高雄市大寮區,889,917,112369,7.91,8.16
高雄市大樹區,259,436,42637,6.07,10.23
高雄市大社區,263,270,34651,7.59,7.79
高雄市小港區,1220,991,157482,7.75,6.29
高雄市岡山區,752,698,97145,7.74,7.19
高雄市左營區,1281,1316,196753,6.51,6.69
高雄市彌陀區,127,202,19304,6.58,10.46
高雄市新興區,284,460,51058,5.56,9.01
高雄市旗山區,237,477,36814,6.44,12.96
高雄市旗津區,238,277,28617,8.32,9.68
高雄市杉林區,69,196,11892,5.8,16.48
高雄市林園區,559,554,69987,7.99,7.92
高雄市桃源區,67,62,4317,15.52,14.36
高雄市梓官區,273,329,35888,7.61,9.17
高雄市楠梓區,1562,1229,184479,8.47,6.66
高雄市橋頭區,266,335,37619,7.07,8.91
高雄市永安區,147,97,13922,10.56,6.97
高雄市湖內區,227,270,29835,7.61,9.05
高雄市燕巢區,192,312,29807,6.44,10.47
高雄市田寮區,38,140,7217,5.27,19.4
高雄市甲仙區,37,100,6083,6.08,16.44
高雄市美濃區,219,499,39759,5.51,12.55
高雄市苓雅區,1024,1400,170348,6.01,8.22
高雄市茂林區,29,23,1993,14.55,11.54
高雄市茄萣區,236,314,30082,7.85,10.44
高雄市路竹區,419,424,52605,7.97,8.06
高雄市那瑪夏區,44,26,3141,14.01,8.28
高雄市阿蓮區,186,247,28736,6.47,8.6
高雄市鳥松區,320,335,44279,7.23,7.57
高雄市鳳山區,2856,2441,359140,7.95,6.8
高雄市鹽埕區,114,235,24199,4.71,9.71
高雄市鼓山區,974,948,139693,6.97,6.79
