區域,2015,2016,2017,2018,2019,2020
臺中市西區,8.16,7.76,6.91,6.47,5.83,5.15
臺中市西屯區,9.79,9.03,9.02,7.96,7.07,6.66
臺中市豐原區,8.81,8.58,8.41,7.5,7.56,6.66
臺中市霧峰區,9.09,9.22,9.32,8.75,7.83,7.1
臺中市龍井區,10.65,10.49,9.61,8.51,8.19,7.52
臺北市,10.71,10.36,9.31,8.54,8.08,7.25
臺北市中山區,10.65,10.58,9.18,8.86,8.29,7.47
臺北市中正區,10.27,9.92,9.13,8.34,7.79,6.75
臺北市信義區,10.78,10.58,9.38,8.47,8.01,7.68
臺北市內湖區,11.58,11.09,10.13,9.13,8.87,7.98
臺北市北投區,11.2,10.31,9.69,8.58,8.05,7.65
臺北市南港區,12.25,11.98,10.66,10.04,9.63,7.87
臺北市士林區,10.66,10.39,9.25,8.66,8.02,7.15
臺北市大同區,11.11,11.05,10.4,8.84,8.62,7.66
臺北市大安區,9.39,9.19,8.02,7.5,7.2,6.62
臺北市文山區,10.93,10.18,9.19,8.47,7.82,6.85
臺北市松山區,9.31,9.4,8.14,7.54,7.25,6.48
臺北市萬華區,11.32,10.78,9.81,8.98,8.39,7.21
臺南市,8.36,7.8,7.3,6.57,6.29,5.74
臺南市七股區,6.46,5.12,4.42,4.72,4.57,5.08
臺南市下營區,7.78,6.87,5.54,5.65,4.89,4.79
臺南市中西區,6.74,6.3,5.08,5.4,4.7,4.5
臺南市仁德區,9.57,9.07,8.7,7.47,7.61,6.65
臺南市佳里區,7.6,7.4,7.11,6.39,6.43,5.54
臺南市六甲區,6.3,6.08,5.81,5.35,5.76,4.64
臺南市北區,9.1,8.07,7.42,6.33,6.36,5.68
臺南市北門區,6.04,6.22,6.41,4.84,5.85,5.32
臺南市南化區,8.16,7.24,6.38,7.53,6.36,5.66
臺南市南區,7.84,7.03,7.13,6.22,5.45,5.53
臺南市善化區,10.33,10.04,9.16,8.55,7.97,7.9
臺南市大內區,5.61,5.72,5.16,3.41,3.91,4.94
臺南市學甲區,7.37,6.48,6.22,4.49,5.04,5.62
臺南市安南區,10.64,9.44,9.1,8.62,7.7,7.13
臺南市安定區,7.66,9.3,7.9,6.94,7.24,6.02
臺南市安平區,8.45,7.98,7.68,6.45,7.2,5.43
臺南市官田區,7.27,6.97,6.14,6.66,6.58,4.22
臺南市將軍區,6.03,6,5.56,5.63,4.3,3.49
臺南市山上區,9.08,7.17,9.13,8.33,4.42,6.42
臺南市左鎮區,3.92,3.58,2.84,2.48,4.86,2.38
臺南市後壁區,6.01,5.74,5.65,4.63,5.14,4.2
臺南市新化區,7.84,7.42,6.71,5.66,6.29,6.03
臺南市新市區,8.83,9.99,8.27,8.22,8.18,7.6
臺南市新營區,6.94,7.2,6.59,6.15,5.51,5
臺南市東區,8.02,6.97,6.06,5.52,5.02,4.56
臺南市東山區,5.94,5.73,6.85,5.2,3.88,4.97
臺南市柳營區,6.92,6.65,6.63,5.31,5.78,5.54
臺南市楠西區,5.75,5.53,4.69,5.5,3.29,3.78
臺南市歸仁區,9.19,8.82,8.32,7.14,6.98,6.14
臺南市永康區,10.35,9.37,8.71,7.74,7.57,6.65
臺南市玉井區,5.33,6.35,5.14,5.89,4.6,4.53
臺南市白河區,4.95,5.13,5.89,4.63,4.59,4.51
臺南市西港區,7.36,7.79,7.18,6.3,6.27,6.58
臺南市關廟區,7.36,6.92,7.4,6.28,5.75,5.69
臺南市鹽水區,5.8,5.58,6.34,5.81,5.69,5.63
臺南市麻豆區,7.24,6.91,6.51,5.2,5.69,4.5
臺南市龍崎區,4.95,3.87,3.68,3.5,3.28,2.09
臺東縣,7.19,7.02,6.74,6.73,6.86,6.32
臺東縣卑南鄉,6.67,7.96,6.43,7.27,7.39,7.13
臺東縣大武鄉,7.16,4.33,6.85,8.99,7.78,7.12
臺東縣太麻里鄉,6.57,7.62,6.25,6.97,4.43,5.67
臺東縣延平鄉,17.11,12.76,8.51,13.12,10.69,11.08
臺東縣成功鎮,4.94,4.62,6,4.65,4.46,4.78
臺東縣東河鄉,6.08,3.31,3.72,4.69,3.8,3.98
臺東縣池上鄉,6.47,4.03,5.43,5.34,9.55,10.36
臺東縣海端鄉,11.08,13.36,8.23,10.25,10.63,11.03
臺東縣綠島鄉,9.44,12.84,10.78,12.89,9.56,7.43
臺東縣臺東市,7.38,7.21,6.95,6.67,6.84,5.88
臺東縣蘭嶼鄉,10.82,8.53,10.53,8.86,9.87,9.73
臺東縣達仁鄉,7.71,9.53,8.46,6.63,7.91,9.12
臺東縣金峰鄉,11.84,12.01,10.17,9.91,13.42,12.14
